seed,gain,coh,n,p_net,p_mod
51,1.2,-0.06,183,0.060109289617486336,0.07349306686783161
51,1.2,-0.03,187,0.1925133689839572,0.1810313136149689
51,1.2,0.0,180,0.3611111111111111,0.36070578033093736
51,1.2,0.03,186,0.5591397849462365,0.5370463549201496
51,1.2,0.06,177,0.7909604519774012,0.7450023839167247
51,1.2,0.09,163,0.8773006134969326,0.8877283238983925
51,1.2,0.12,191,0.93717277486911,0.9559791704760497
51,1.2,0.15,196,0.9744897959183674,0.98173851310181
52,0.8,-0.15,214,0.009345794392523364,0.005812650626672963
52,0.8,-0.12,168,0.023809523809523808,0.04803973666429462
52,0.8,-0.09,155,0.10967741935483871,0.0797840535734594
52,0.8,-0.06,183,0.18032786885245902,0.2001984846611624
52,0.8,-0.03,187,0.35294117647058826,0.36056567579539656
52,0.8,0.0,180,0.6333333333333333,0.5791250797342612
52,0.8,0.03,186,0.7634408602150538,0.7516487231016105
52,0.8,0.06,177,0.8700564971751412,0.8945291387003215
52,0.8,0.09,163,0.9447852760736196,0.9623967404092381
52,0.8,0.12,191,0.9947643979057592,0.991687818160083
52,0.8,0.15,196,1.0,0.9990916924713001
52,1.0,-0.15,214,0.0,0.00047620711433322103
52,1.0,-0.12,168,0.005952380952380952,0.006347782280794707
52,1.0,-0.09,155,0.025806451612903226,0.01917907151284697
52,1.0,-0.06,183,0.060109289617486336,0.068408448949526
52,1.0,-0.03,187,0.2192513368983957,0.22188921673691783
52,1.0,0.0,180,0.4888888888888889,0.4693424255092238
52,1.0,0.03,186,0.7150537634408602,0.7071165540345379
52,1.0,0.06,177,0.8870056497175142,0.8912853876889298
52,1.0,0.09,163,0.9754601226993865,0.973442019105567
52,1.0,0.12,191,0.9947643979057592,0.9967521763316943
52,1.0,0.15,196,0.9948979591836735,0.9998515923676113
52,1.2,-0.15,214,0.004672897196261682,0.0014511911717278569
52,1.2,-0.12,168,0.017857142857142856,0.010009257501779428
52,1.2,-0.09,155,0.025806451612903226,0.032666942789310136
52,1.2,-0.06,183,0.08196721311475409,0.08410824284332627
52,1.2,-0.03,187,0.2192513368983957,0.2306190165422922
52,1.2,0.0,180,0.45555555555555555,0.45441063015098554
52,1.2,0.03,186,0.6505376344086021,0.662098166879275
52,1.2,0.06,177,0.8813559322033898,0.8536724216363336
52,1.2,0.09,163,0.9570552147239264,0.9507659046745867
52,1.2,0.12,191,0.9842931937172775,0.989146225008489
52,1.2,0.15,196,0.9897959183673469,0.9970137119820949
53,0.8,-0.15,214,0.0,0.0004681403293243774
53,0.8,-0.12,168,0.023809523809523808,0.017546227993587564
53,0.8,-0.09,155,0.025806451612903226,0.027855814691243562
53,0.8,-0.06,183,0.09836065573770492,0.09431312470116052
53,0.8,-0.03,187,0.20855614973262032,0.20525957460356026
53,0.8,0.0,180,0.4,0.38980490854890254
53,0.8,0.03,186,0.5860215053763441,0.5803693390775005
53,0.8,0.06,177,0.7570621468926554,0.7740721979554928
53,0.8,0.09,163,0.8711656441717791,0.897223240205296
53,0.8,0.12,191,0.9685863874345549,0.9712803941617278
53,0.8,0.15,196,1.0,0.9947904286151403
53,1.0,-0.15,214,0.0,8.515653208145967e-05
53,1.0,-0.12,168,0.0,0.003083489689042868
53,1.0,-0.09,155,0.0064516129032258064,0.008597295003043634
53,1.0,-0.06,183,0.04371584699453552,0.038882156654271006
