bound,gain,quantile,acoh,correct,n_obs,rt_obs,p_obs,rt_pred,p_pred,n_datasets
1.5,1.0,0.5,0.03,True,4789,121.0,0.6663420064004453,119.904375,0.656971811526603,80
1.5,1.0,0.5,0.06,False,1509,108.0,0.2106071179344033,106.334375,0.2149838913049488,80
1.5,1.0,0.5,0.06,True,5656,115.0,0.7893928820655967,110.01124999999999,0.7850161086950511,80
1.5,1.0,0.5,0.09,False,881,100.0,0.1192474282620465,92.76312499999999,0.12599997798427848,80
1.5,1.0,0.5,0.09,True,6507,102.0,0.8807525717379534,97.59562500000001,0.8740000220157214,80
1.5,1.0,0.5,0.12,False,467,81.0,0.0645919778699861,78.69874999999999,0.0707247589945195,80
1.5,1.0,0.5,0.12,True,6763,87.0,0.9354080221300138,85.223125,0.9292752410054806,80
1.5,1.0,0.5,0.15,False,250,62.5,0.0342465753424657,68.260625,0.03902807993964265,80
1.5,1.0,0.5,0.15,True,7050,74.0,0.9657534246575342,74.33,0.9609719200603573,80
1.5,1.0,0.75,0.0,False,1834,216.0,0.5078925505400166,217.61999999999998,0.5005418834053929,80
1.5,1.0,0.75,0.0,True,1777,213.0,0.4921074494599833,218.37843750000002,0.49945811659460715,80
1.5,1.0,0.75,0.03,False,2398,221.0,0.3336579935995547,209.940625,0.34302818847339694,80
1.5,1.0,0.75,0.03,True,4789,216.0,0.6663420064004453,212.32156249999997,0.656971811526603,80
1.5,1.0,0.75,0.06,False,1509,192.0,0.2106071179344033,187.39124999999999,0.2149838913049488,80
1.5,1.0,0.75,0.06,True,5656,202.0,0.7893928820655967,191.93687500000001,0.7850161086950511,80
1.5,1.0,0.75,0.09,False,881,170.0,0.1192474282620465,162.393125,0.12599997798427848,80
1.5,1.0,0.75,0.09,True,6507,169.0,0.8807525717379534,166.938125,0.8740000220157214,80
1.5,1.0,0.75,0.12,False,467,137.5,0.0645919778699861,134.35343749999998,0.0707247589945195,80
1.5,1.0,0.75,0.12,True,6763,146.0,0.9354080221300138,142.3371875,0.9292752410054806,80
1.5,1.0,0.75,0.15,False,250,107.5,0.0342465753424657,112.84593749999999,0.03902807993964265,80
1.5,1.0,0.75,0.15,True,7050,121.0,0.9657534246575342,120.89406249999998,0.9609719200603573,80
1.5,1.2,0.25,0.0,False,1815,51.5,0.4995871180842279,50.435625,0.49919086902890236,80
1.5,1.2,0.25,0.0,True,1818,50.0,0.500412881915772,50.534687500000004,0.5008091309710976,80
1.5,1.2,0.25,0.03,False,2543,50.0,0.3512430939226519,48.9271875,0.36274407179835516,80
1.5,1.2,0.25,0.03,True,4697,50.0,0.648756906077348,49.681875000000005,0.6372559282016448,80
1.5,1.2,0.25,0.06,False,1767,46.0,0.2457921825010432,45.92125,0.24425193528145242,80
1.5,1.2,0.25,0.06,True,5422,49.0,0.7542078174989567,47.449374999999996,0.7557480647185475,80
1.5,1.2,0.25,0.09,False,1128,44.0,0.1525354969574036,42.2896875,0.1562677722732503,80
1.5,1.2,0.25,0.09,True,6267,45.0,0.8474645030425964,44.12375000000001,0.8437322277267496,80
1.5,1.2,0.25,0.12,False,691,39.0,0.0955607799751071,38.51375,0.09587721046850663,80
1.5,1.2,0.25,0.12,True,6540,42.0,0.9044392200248929,40.619375000000005,0.9041227895314933,80
1.5,1.2,0.25,0.15,False,415,36.0,0.0568493150684931,34.893437500000005,0.05785958904109585,80
1.5,1.2,0.25,0.15,True,6885,37.0,0.9431506849315068,37.27218750000001,0.9421404109589041,80
1.5,1.2,0.5,0.0,False,1815,90.0,0.4995871180842279,91.19500000000001,0.49919086902890236,80
1.5,1.2,0.5,0.0,True,1818,92.0,0.500412881915772,91.41,0.5008091309710976,80
1.5,1.2,0.5,0.03,False,2543,89.0,0.3512430939226519,88.540625,0.36274407179835516,80
1.5,1.2,0.5,0.03,True,4697,89.0,0.648756906077348,89.576875,0.6372559282016448,80
1.5,1.2,0.5,0.06,False,1767,82.0,0.2457921825010432,82.22999999999999,0.24425193528145242,80
1.5,1.2,0.5,0.06,True,5422,86.0,0.7542078174989567,83.98499999999999,0.7557480647185475,80
1.5,1.2,0.5,0.09,False,1128,80.5,0.1525354969574036,73.555625,0.1562677722732503,80
1.5,1.2,0.5,0.09,True,6267,78.0,0.8474645030425964,76.29312499999999,0.8437322277267496,80
1.5,1.2,0.5,0.12,False,691,67.0,0.0955607799751071,64.71437499999999,0.09587721046850663,80
1.5,1.2,0.5,0.12,True,6540,68.0,0.9044392200248929,68.081875,0.9041227895314933,80
1.5,1.2,0.5,0.15,False,415,63.0,0.0568493150684931,57.4875,0.05785958904109585,80
1.5,1.2,0.5,0.15,True,6885,60.0,0.9431506849315068,60.728750000000005,0.9421404109589041,80
1.5,1.2,0.75,0.0,False,1815,155.0,0.4995871180842279,160.83125,0.49919086902890236,80
1.5,1.2,0.75,0.0,True,1818,156.0,0.500412881915772,161.71625,0.5008091309710976,80
1.5,1.2,0.75,0.03,False,2543,158.5,0.3512430939226519,155.865625,0.36274407179835516,80
1.5,1.2,0.75,0.03,True,4697,158.0,0.648756906077348,157.2603125,0.6372559282016448,80
1.5,1.2,0.75,0.06,False,1767,139.0,0.2457921825010432,143.7975,0.24425193528145242,80
1.5,1.2,0.75,0.06,True,5422,146.0,0.7542078174989567,145.50656250000003,0.7557480647185475,80
1.5,1.2,0.75,0.09,False,1128,131.0,0.1525354969574036,126.49968750000001,0.1562677722732503,80
1.5,1.2,0.75,0.09,True,6267,130.0,0.8474645030425964,130.15968750000002,0.8437322277267496,80
1.5,1.2,0.75,0.12,False,691,116.0,0.0955607799751071,109.7725,0.09587721046850663,80
1.5,1.2,0.75,0.12,True,6540,114.0,0.9044392200248929,113.7665625,0.9041227895314933,80
